class_label,time,mean_y,sd_y,n,cohort,variable
C1,6,-0.6087909249303959,0.9800913595526871,4,CHARLS,env_formative
C1,7,-1.094480326292969,0.5528831502278937,318,CHARLS,env_formative
C1,8,-1.385565060031605,0.2041241473471816,3,CHARLS,env_formative
C1,9,-1.4769739201494918,0.677412590323408,197,CHARLS,env_formative
C2,0,0.046420290134547106,0.48662724750477276,588,CHARLS,env_formative
C2,1,0.0014778957593656328,0.7500000248520904,2,CHARLS,env_formative
C2,2,-0.19261322156677615,0.5627231186799134,345,CHARLS,env_formative
C2,3,-0.6754105192301937,0.6369128512528115,83,CHARLS,env_formative
C2,4,-0.49915805084589593,0.7615171779360147,414,CHARLS,env_formative
C2,5,-1.1877027538978224,0.673541563594397,153,CHARLS,env_formative
C2,6,-0.7811840302317563,0.7564586059175732,2,CHARLS,env_formative
C2,7,-1.1670009442430744,0.5601200211742895,449,CHARLS,env_formative
C2,8,-1.2497017043995224,0.025473131770649093,2,CHARLS,env_formative
C2,9,-1.7841829476747932,0.3376061258635973,325,CHARLS,env_formative
C3,0,0.014231823312352256,0.46951343576235854,5589,CHARLS,env_formative
C3,1,-0.3828978156562585,0.60157565541759,21,CHARLS,env_formative
C3,2,0.04809298761174742,0.4945721082705474,3197,CHARLS,env_formative
C3,3,0.009016615698837022,0.41690251275281753,1266,CHARLS,env_formative
C3,4,-0.0015017392396514402,0.43018775602062564,3421,CHARLS,env_formative
C3,5,0.06092278370607094,0.4587227844990326,1961,CHARLS,env_formative
C3,6,0.07315794985434196,0.5564859320473722,38,CHARLS,env_formative
C3,7,-0.062048759532845964,0.44189794158529144,3631,CHARLS,env_formative
C3,8,-0.32641647829091447,0.6635603438226316,32,CHARLS,env_formative
C3,9,-0.05091447886818577,0.5364789077994017,2261,CHARLS,env_formative
C4,0,0.7882825577339148,0.51729376989236,1447,CHARLS,env_formative
C4,1,0.8021723656936872,0.1545867407226153,17,CHARLS,env_formative
C4,2,0.7108514646523051,0.37398589042082797,825,CHARLS,env_formative
C4,3,0.8719444218195908,0.539936977135622,387,CHARLS,env_formative
C4,4,0.7184796745010156,0.5572531278063282,770,CHARLS,env_formative
C4,5,0.7173795893228038,0.41490524052294797,573,CHARLS,env_formative
