log_hr,hr,se_log_hr,z,p_value,variable,model,cohort,n,n_events,hr_lower,hr_upper
-0.4983151426367091,0.6075534387371465,0.09064285817641624,-5.497566522746327,3.850680713966021e-8,ic_cfa,M1_IC_mort,SHARE,41748,698,0.5086601614431862,0.725673463150819
0.10717773303612206,1.1131320772426778,0.005190942078937379,20.64706779738565,1.0372755387954289e-94,age,M1_IC_mort,SHARE,41748,698,1.1018642153315599,1.1245151663390347
-0.745099533470837,0.4746870503388114,0.07820200072712342,-9.527883258009897,1.6052280125740152e-21,female,M1_IC_mort,SHARE,41748,698,0.40723068727991335,0.5533173279853548
0.1504047384439266,1.1623045768865228,0.03237176560029888,4.646170378872939,3.381537520919096e-6,chronic_n,M1_IC_mort,SHARE,41748,698,1.090848766261832,1.238441084808538
-0.42935795322708226,0.6509268860947862,0.09193615170686827,-4.670175390808818,3.0094268020944585e-6,ic_cfa,M3_Both_mort,SHARE,41748,698,0.5435939041758626,0.7794528374696015
-0.2531562699047325,0.7763465527421063,0.05869210416451178,-4.313293474623859,1.6084038629828933e-5,env_formative,M3_Both_mort,SHARE,41748,698,0.6919837584643269,0.8709943876314593
0.10394850125339214,1.109543313354291,0.005240429465260249,19.835874510378485,1.459560273075126e-87,age,M3_Both_mort,SHARE,41748,698,1.0982052534047468,1.1209984293851285
-0.8085966091764781,0.44548281423112185,0.07975759167621019,-10.138177346917853,3.740126492984815e-24,female,M3_Both_mort,SHARE,41748,698,0.3810131123381855,0.5208611760299015
0.14068983270764104,1.1510675690992815,0.032406747620320815,4.3413746530806065,1.415940478952518e-5,chronic_n,M3_Both_mort,SHARE,41748,698,1.0802285157067901,1.2265520946419513
-0.40920015887593164,0.6641812772387237,0.09407500480310496,-4.349722434055362,1.3630995680686474e-5,ic_cfa,M4_Int_mort,SHARE,41748,698,0.5523423816954764,0.798665435884793
-0.24282890803077142,0.7844057078086912,0.0597115136387697,-4.066701599624275,4.7683236263727485e-5,env_formative,M4_Int_mort,SHARE,41748,698,0.697771582999304,0.8817961771932284
0.11877648578203104,1.1261181867307621,0.11176294623587245,1.062753710262404,0.28789365658451066,ic_env_cont,M4_Int_mort,SHARE,41748,698,0.9045851041631996,1.4019047678868137
