log_hr,hr,se_log_hr,z,p_value,variable,cohort,subgroup,subgroup_type,n,n_events,hr_lower,hr_upper
-0.1204246927643036,0.8865438479980831,0.09586653218829808,-1.2561703236304527,0.20905422378756994,ic_env_cont,CHARLS,Age >= 70,age_group,1830,967,0.7346779082723596,1.0698021344775177
0.03555155004412951,1.0361910624462933,0.006793720872943666,5.233001282951635,1.667795814182176e-7,age,CHARLS,Age >= 70,age_group,1830,967,1.0224849163940584,1.0500809358441288
0.19097566638852717,1.2104299975896575,0.06563895245456425,2.909486809996273,0.003620226625594197,female,CHARLS,Age >= 70,age_group,1830,967,1.0643064002008313,1.3766155862526344
0.20841023493374142,1.2317183598181625,0.02138223038965145,9.74688940937647,1.9020712168633693e-22,chronic_n,CHARLS,Age >= 70,age_group,1830,967,1.1811647918849397,1.2844356082541715
-0.5582910983394177,0.5721860385056139,0.06153661145560172,-9.072503102355924,1.1631367088332298e-19,ic_cfa,ELSA,Age >= 70,age_group,2360,1120,0.5071731287824797,0.6455327462767932
-0.060078232847289234,0.9416908595452129,0.03805396252807395,-1.5787641773959042,0.11439015813190566,env_formative,ELSA,Age >= 70,age_group,2360,1120,0.8740095300817847,1.0146132787225124
-0.09988456842113999,0.9049418708761973,0.06489078748142534,-1.5392719413326807,0.12373792092897705,ic_env_cont,ELSA,Age >= 70,age_group,2360,1120,0.7968645918848659,1.0276774724396749
0.04506398888129264,1.04609479620284,0.006677968399510194,6.748158449596427,1.4973338296637293e-11,age,ELSA,Age >= 70,age_group,2360,1120,1.0324918690585867,1.0598769398934282
0.07123994709680494,1.0738388594746706,0.06420728817157306,1.1095305396863886,0.26720137730847615,female,ELSA,Age >= 70,age_group,2360,1120,0.9468578168033291,1.2178490536318578
0.25718587674251636,1.2932854961142866,0.0278077328937717,9.248717891709905,2.2720150119771886e-20,chronic_n,ELSA,Age >= 70,age_group,2360,1120,1.224683839241743,1.3657299303427983
-0.31508190142577297,0.7297291059673289,0.042355772224731233,-7.438936533939497,1.0149906959115292e-13,ic_cfa,HRS,Age >= 70,age_group,5297,3380,0.6715953920288545,0.7928949102631699
-0.118089954446569,0.888616114048505,0.023966916146113827,-4.927206893312262,8.341341747593386e-7,env_formative,HRS,Age >= 70,age_group,5297,3380,0.8478384994472383,0.9313549675574806
-0.01298709634075327,0.987096872099791,0.04710268286686996,-0.27571882428565114,0.7827640361725364,ic_env_cont,HRS,Age >= 70,age_group,5297,3380,0.9000469460325701,1.0825660141442577
0.07261311253492324,1.0753144307524902,0.003552697602082723,20.43886664948763,7.547145326731715e-93,age,HRS,Age >= 70,age_group,5297,3380,1.067852716612773,1.0828282842715777
0.09059321651218213,1.0948235585187391,0.037984368016997616,2.3850131314977414,0.017078511725008037,female,HRS,Age >= 70,age_group,5297,3380,1.0162748713147576,1.179443335774851
0.24642629443956496,1.2794448775404743,0.014034361254631566,17.558782332059486,5.095662757812897e-69,chronic_n,HRS,Age >= 70,age_group,5297,3380,1.2447303826958396,1.3151275307662904
-0.45107089880318685,0.6369456818905552,0.0647990043016856,-6.961077622475956,3.376796388879151e-12,ic_cfa,MHAS,Age >= 70,age_group,2694,853,0.5609761166206034,0.7232033408534667
0.036543316621363106,1.037219231877419,0.059420152610001935,0.6149987002088569,0.538555578813027,env_formative,MHAS,Age >= 70,age_group,2694,853,0.9231900301715189,1.1653329215183426
-0.1098761285314611,0.895945110459621,0.09356953423723904,-1.174272474765962,0.24028590469732233,ic_env_cont,MHAS,Age >= 70,age_group,2694,853,0.7458189402797001,1.0762902329290056
0.03907000877009299,1.0398432792510326,0.006631228752268775,5.8918203895056065,3.819642181252673e-9,age,MHAS,Age >= 70,age_group,2694,853,1.026415669240904,1.0534465497815404
0.16510149922434464,1.1795128322734514,0.07057686560841443,2.3393147003776917,0.019319152453009355,female,MHAS,Age >= 70,age_group,2694,853,1.0271324008347618,1.3544996928994297
0.27176111511892975,1.3122734815704595,0.03729722909126541,7.286362063356957,3.184364946750102e-13,chronic_n,MHAS,Age >= 70,age_group,2694,853,1.2197654011318464,1.4117974561625684
-0.5479265365598807,0.5781473358026467,0.04199752169430638,-13.046639764797437,6.641255606840263e-39,ic_cfa,SHARE,Age >= 70,age_group,13622,3738,0.5324631002627954,0.6277511845059839
-0.18648978444484998,0.8298670394605534,0.02733203123881523,-6.823122029072209,8.908292112148767e-12,env_formative,SHARE,Age >= 70,age_group,13622,3738,0.7865802198635294,0.8755360048368729
-0.09024000971390189,0.9137118592301683,0.05337116574591739,-1.690800799508577,0.09087485445127849,ic_env_cont,SHARE,Age >= 70,age_group,13622,3738,0.8229601543737007,1.0144711833991686
0.07705649107348152,1.0801030908522709,0.0033229197938824963,23.189392417879816,5.825986651770465e-119,age,SHARE,Age >= 70,age_group,13622,3738,1.0730913211526922,1.0871606767031414
-0.01611662312315693,0.9840125547459107,0.03447746406988332,-0.4674538443572794,0.6401752070410258,female,SHARE,Age >= 70,age_group,13622,3738,0.9197140681821722,1.0528062377162442
0.22185642034754746,1.2483921212888938,0.013641617921354049,16.263204381370496,1.8006898745263184e-59,chronic_n,SHARE,Age >= 70,age_group,13622,3738,1.215455433838148,1.282221334578125
